"engineering_candidate_id","candidate_name","candidate_type","organization_name","company_name","github_org_url","repository_url","repository_name","repository_purpose","official_status","relationship_status","primary_language","typescript_signal","frontend_relevance","design_system_signal","testing_signal","ci_cd_signal","accessibility_signal","documentation_signal","license","archived","last_activity","stars","forks","evidence_quality","primary_source_url","source_checked_at","selection_notes","research_status"
"EC-0001","Khan Academy (org)","COMPANY_OFFICIAL","Khan Academy","Khan Academy (DC-0003)","https://github.com/Khan","https://github.com/Khan","khan (org-level; inclui Perseus e Wonder Blocks)","Organizacao oficial contendo o exercise engine (Perseus) e o design system (Wonder Blocks)","VERIFIED","VERIFIED","UNVERIFIED","UNVERIFIED","TRUE","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","","","MEDIUM","https://github.com/Khan","2026-08-11","472 repositorios reportados na org; sinais individuais de linguagem/teste nao verificados no nivel de repositorio especifico nesta sessao - apenas no nivel da org.","candidate"
"EC-0002","Duolingo (org)","COMPANY_OFFICIAL","Duolingo","Duolingo (DC-0002)","https://github.com/duolingo","https://github.com/duolingo","duolingo (org-level)","Ferramentas internas open-sourced (metasearch, pre-commit-hooks, slack-ai-agent)","VERIFIED","VERIFIED","UNVERIFIED","TRUE","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","","","MEDIUM","https://github.com/duolingo","2026-08-11","12 repositorios reportados; pelo menos 2 (metasearch, slack-ai-agent) descritos como TypeScript no resumo de busca.","candidate"
"EC-0003","Salesforce (org)","COMPANY_OFFICIAL","Salesforce","Salesforce (DC-0010)","https://github.com/salesforce","https://github.com/salesforce","salesforce (org-level)","Ferramentas e bibliotecas open source diversas sob licenca open source/Creative Commons","VERIFIED","VERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","","","LOW","https://github.com/salesforce","2026-08-11","Existencia da org confirmada; conteudo/linguagem predominante dos repositorios nao examinado individualmente nesta sessao.","candidate"
"EC-0004","Salesforce.org (SalesforceFoundation)","COMPANY_OFFICIAL","Salesforce.org","Salesforce (DC-0010)","https://github.com/SalesforceFoundation","https://github.com/SalesforceFoundation","SalesforceFoundation (org-level)","Braco filantropico/nonprofit da Salesforce, 37 repositorios reportados","VERIFIED","VERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","","","LOW","https://github.com/SalesforceFoundation","2026-08-11","Distinta da org principal 'salesforce'; incluida separadamente por representar um vinculo oficial diferente (fundacao vs. produto).","candidate"
"EC-0005","HubSpot (org)","COMPANY_OFFICIAL","HubSpot","HubSpot (DC-0011)","https://github.com/HubSpot","https://github.com/HubSpot","HubSpot (org-level)","Projetos open source do HubSpot incl. scheduler para Mesos, extensao HubL para VS Code","VERIFIED","VERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","","","LOW","https://github.com/HubSpot","2026-08-11","Org confirmada; sinais tecnicos individuais nao examinados nesta sessao.","candidate"
"EC-0006","HubSpot Open Source Showcase","DIGITAL_PRODUCT","HubSpot","HubSpot (DC-0011)","https://github.com/HubSpot","https://github.com/HubSpot/hubspot.github.com","hubspot.github.com","Site/indice dos projetos open source do HubSpot","VERIFIED","VERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","","","LOW","https://github.com/HubSpot/hubspot.github.com","2026-08-11","Repositorio indice/showcase, nao um produto de engenharia em si - incluido por documentar governanca de OSS publica.","candidate"
"EC-0007","monday.com Vibe Design System","DESIGN_SYSTEM","monday.com","monday.com (DC-0013)","https://github.com/mondaycom","https://github.com/mondaycom/vibe","vibe","Monorepo do design system oficial 'Vibe' para desenvolvimento de apps em React.js","VERIFIED","VERIFIED","UNVERIFIED","TRUE","UNVERIFIED","TRUE","UNVERIFIED","UNVERIFIED","TRUE","TRUE","UNKNOWN","UNKNOWN","UNKNOWN","","","HIGH","https://github.com/mondaycom/vibe","2026-08-11","50+ componentes reportados cobrindo theming, data display, acessibilidade, navegacao, layout, feedback; inclui MCP server para IA.","candidate"
"EC-0008","monday.com (org)","COMPANY_OFFICIAL","monday.com","monday.com (DC-0013)","https://github.com/mondaycom","https://github.com/mondaycom","mondaycom (org-level)","Organizacao oficial monday.com no GitHub, 259 seguidores reportados","VERIFIED","VERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","","","LOW","https://github.com/mondaycom","2026-08-11","Metadado de 'seguidores' (259) tratado como metadata secundaria, nao criterio de qualidade.","candidate"
"EC-0009","Zendesk Garden (React)","DESIGN_SYSTEM","Zendesk","Zendesk (DC-0014)","https://github.com/zendeskgarden","https://github.com/zendeskgarden/react-components","react-components","Componentes React do design system Garden, com estilo e comportamento consistentes","VERIFIED","VERIFIED","UNVERIFIED","TRUE","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","TRUE","UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","","","MEDIUM","https://github.com/zendeskgarden/react-components","2026-08-11","Parte de um monorepo de 11 repositorios do design system Garden (react-components, css-components, react-containers, svg-icons, website etc.).","candidate"
"EC-0010","Zendesk Garden (CSS)","DESIGN_SYSTEM","Zendesk","Zendesk (DC-0014)","https://github.com/zendeskgarden","https://github.com/zendeskgarden/css-components","css-components","Estilos CSS consistentes para componentes do design system Garden","VERIFIED","VERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","TRUE","UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","","","MEDIUM","https://github.com/zendeskgarden/css-components","2026-08-11","Par do repositorio react-components (EC-0009) dentro do mesmo design system.","candidate"
"EC-0011","Airbnb react-sketchapp","DESIGN_SYSTEM","Airbnb","Airbnb (DC-0034)","https://github.com/airbnb","https://github.com/airbnb/react-sketchapp","react-sketchapp","Renderiza componentes React para Sketch; ferramenta de design engineering historica","VERIFIED","VERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","","","MEDIUM","https://github.com/airbnb/react-sketchapp","2026-08-11","Ferramenta de ~2017; status atual de manutencao/archived nao confirmado nesta sessao - verificar no Pilot Measurement, nao assumir 'FALSE' para archived sem checagem.","candidate"
"EC-0012","Airbnb Lunar","DESIGN_SYSTEM","Airbnb","Airbnb (DC-0034)","https://github.com/airbnb","https://github.com/airbnb/lunar","lunar","Toolkit React e design language para projetos open source e internos da Airbnb","VERIFIED","VERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","","","MEDIUM","https://github.com/airbnb/lunar","2026-08-11","Design language toolkit distinto do react-sketchapp (EC-0011); ambos sob o mesmo namespace airbnb.","candidate"
"EC-0013","Next.js (Vercel)","FRAMEWORK_OR_PLATFORM","Vercel","Vercel (DC-0037)","https://github.com/vercel","https://github.com/vercel/next.js/","next.js","Framework React para producao, com Server Components, Actions e Turbopack (Rust)","VERIFIED","VERIFIED","UNVERIFIED","TRUE","TRUE","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","TRUE","UNVERIFIED","FALSE","UNKNOWN","","","HIGH","https://github.com/vercel/next.js/","2026-08-11","Turbopack descrito como 'optimized for JavaScript and TypeScript'; adocao amplamente reportada em producao (ex.: Sonos citado no material oficial).","candidate"
"EC-0014","37signals / Basecamp (org)","COMPANY_OFFICIAL","37signals / Basecamp","37signals / Basecamp (DC-0039)","https://github.com/basecamp","https://github.com/basecamp","basecamp (org-level)","Organizacao oficial da 37signals; inclui Rails, Hotwire, Turbo, Stimulus e ferramentas internas","VERIFIED","VERIFIED","Ruby","FALSE","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","FALSE","UNKNOWN","","","HIGH","https://github.com/basecamp","2026-08-11","Mantenedora original do Ruby on Rails (usado por Shopify, GitHub, Airbnb, Coinbase, Twitch, Kickstarter, Square); Rails nao e TypeScript, relevante como contraste explicito para RQ-B-01.","candidate"
"EC-0015","Basecamp House Style","DIGITAL_PRODUCT","37signals / Basecamp","37signals / Basecamp (DC-0039)","https://github.com/basecamp","https://github.com/basecamp/house-style","house-style","Guia de estilo de codigo da 37signals (governanca de engenharia publica)","VERIFIED","VERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","TRUE","UNKNOWN","FALSE","UNKNOWN","","","MEDIUM","https://github.com/basecamp/house-style","2026-08-11","Relevante para RQ-B-04 (governanca de engenharia publica), nao diretamente para RQ-B-01.","candidate"
